846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847
878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879
846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847
878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879
846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847
878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879
846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847
878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879
846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847
878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879
846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847
878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879
846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847
878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879
846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847
878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879
846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847
878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879
846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847,846,847
878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879,878,879
